"Name"	"File Extension"	"File Type"	"Is Deleted"	"Last Accessed"	"File Created"	"Last Modified"	"Size"	"Address"	"Hash Value"	"Known Status"	"Permissions"	"Full Path"
"$Volume"	""	"r"	""	"2025-11-29 15:12:23 IST"	"2025-11-29 15:12:23 IST"	"2025-11-29 15:12:23 IST"	"0"	"3"	"d41d8cd98f00b204e9800998ecf8427e"	"unknown"	"rr-xr-xr-x"	"/img_DI51fin.001/vol_vol2/$Volume"
"access_log.txt"	".txt"	"r"	""	"2025-12-03 10:41:34 IST"	"2025-12-02 18:53:08 IST"	"2025-12-02 19:57:15 IST"	"111"	"43"	"c8a788b98e8417089387ebe7de6c3f26"	"unknown"	"rrwxrwxrwx"	"/img_DI51fin.001/vol_vol2/result34/access_log.txt"
"evidence_photo.jpg"	".jpg"	"r"	""	"2025-12-03 10:41:56 IST"	"2025-12-02 19:10:11 IST"	"2025-12-02 19:07:14 IST"	"261429"	"45"	"35343e53ee261369f93637d7d905561a"	"unknown"	"rrwxrwxrwx"	"/img_DI51fin.001/vol_vol2/result34/evidence_photo.jpg"
"evidence_photo.jpg-slack"	".jpg-slack"	"r"	""	"2025-12-03 10:41:56 IST"	"2025-12-02 19:10:11 IST"	"2025-12-02 19:07:14 IST"	"715"	"45"	"null"	"unknown"	"rrwxrwxrwx"	"/img_DI51fin.001/vol_vol2/result34/evidence_photo.jpg-slack"
"hidden_note.txt"	".txt"	"r"	""	"2025-12-03 10:41:49 IST"	"2025-12-02 18:54:50 IST"	"2025-12-02 19:58:18 IST"	"114"	"44"	"915247745737e84082c33175524b4929"	"unknown"	"rr-xr-xr-x"	"/img_DI51fin.001/vol_vol2/result34/hidden_note.txt"
"WPSettings.dat"	".dat"	"r"	""	"2025-12-03 10:07:13 IST"	"2025-11-29 15:12:23 IST"	"2025-11-29 15:12:23 IST"	"12"	"37"	"92b223bc903d30f0f7d019a3a088085a"	"unknown"	"rrwxrwxrwx"	"/img_DI51fin.001/vol_vol2/System Volume Information/WPSettings.dat"
"$OrphanFiles"	""	"v"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0"	"0"	"null"	"unknown"	"v---------"	"/img_DI51fin.001/vol_vol2/$OrphanFiles"
"hash2.jpg"	".jpg"	"r"	"yes"	"2025-12-02 19:26:21 IST"	"2025-12-02 19:26:20 IST"	"2025-12-02 19:26:21 IST"	"41416"	"50"	"91eb4fda0dbfdbf3db6ed33923d126ef"	"unknown"	"rrwxrwxrwx"	"/img_DI51fin.001/vol_vol2/$OrphanFiles/hash2.jpg"
"hash2.jpg-slack"	".jpg-slack"	"r"	"yes"	"2025-12-02 19:26:21 IST"	"2025-12-02 19:26:20 IST"	"2025-12-02 19:26:21 IST"	"3640"	"50"	"null"	"unknown"	"rrwxrwxrwx"	"/img_DI51fin.001/vol_vol2/$OrphanFiles/hash2.jpg-slack"
"concftk.jpg"	".jpg"	"r"	"yes"	"2025-12-02 19:26:54 IST"	"2025-12-02 19:26:53 IST"	"2025-12-02 19:26:54 IST"	"35588"	"51"	"4f3069ed7c28b6d0f5bd553607d48930"	"unknown"	"rrwxrwxrwx"	"/img_DI51fin.001/vol_vol2/$OrphanFiles/concftk.jpg"
"concftk.jpg-slack"	".jpg-slack"	"r"	"yes"	"2025-12-02 19:26:54 IST"	"2025-12-02 19:26:53 IST"	"2025-12-02 19:26:54 IST"	"1276"	"51"	"null"	"unknown"	"rrwxrwxrwx"	"/img_DI51fin.001/vol_vol2/$OrphanFiles/concftk.jpg-slack"
"imgsummary1.jpg"	".jpg"	"r"	"yes"	"2025-12-02 19:27:28 IST"	"2025-12-02 19:27:28 IST"	"2025-12-02 19:27:28 IST"	"59853"	"52"	"0a9cf151db00b7594ea498f67d4acde6"	"unknown"	"rrwxrwxrwx"	"/img_DI51fin.001/vol_vol2/$OrphanFiles/imgsummary1.jpg"
"imgsummary1.jpg-slack"	".jpg-slack"	"r"	"yes"	"2025-12-02 19:27:28 IST"	"2025-12-02 19:27:28 IST"	"2025-12-02 19:27:28 IST"	"1587"	"52"	"null"	"unknown"	"rrwxrwxrwx"	"/img_DI51fin.001/vol_vol2/$OrphanFiles/imgsummary1.jpg-slack"
"imgsummary2.jpg"	".jpg"	"r"	"yes"	"2025-12-02 19:28:03 IST"	"2025-12-02 19:28:02 IST"	"2025-12-02 19:28:03 IST"	"77701"	"53"	"c2c43cf6436b98540d15a460642dc104"	"unknown"	"rrwxrwxrwx"	"/img_DI51fin.001/vol_vol2/$OrphanFiles/imgsummary2.jpg"
"imgsummary2.jpg-slack"	".jpg-slack"	"r"	"yes"	"2025-12-02 19:28:03 IST"	"2025-12-02 19:28:02 IST"	"2025-12-02 19:28:03 IST"	"123"	"53"	"null"	"unknown"	"rrwxrwxrwx"	"/img_DI51fin.001/vol_vol2/$OrphanFiles/imgsummary2.jpg-slack"
"final_report_deleted.txt"	".txt"	"r"	"yes"	"2025-12-03 10:41:43 IST"	"2025-12-03 10:41:43 IST"	"2025-12-03 10:55:22 IST"	"159"	"46"	"null"	"unknown"	"r---------"	"/img_DI51fin.001/vol_vol2/result34/final_report_deleted.txt"
"f0000000.jpg"	".jpg"	"r"	"yes"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"261429"	"0"	"35343e53ee261369f93637d7d905561a"	"unknown"	"r---------"	"/img_DI51fin.001/vol_vol2/$CarvedFiles/1/f0000000.jpg"
"f0001872.jpg"	".jpg"	"r"	"yes"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"319963"	"0"	"d3499718ee4b9f9bf7244d1661d95d4e"	"unknown"	"r---------"	"/img_DI51fin.001/vol_vol2/$CarvedFiles/1/f0001872.jpg"

